epoch,error_rate,psnr,ssim,g_loss,g_loss_on_discriminator,g_loss_on_encoder,g_loss_on_decoder,d_cover_loss,d_encoded_loss,g_loss_on_perceptual,scheduler_encoder_decoder_lr,scheduler_discriminator_lr,duration
1,0.01265000,20.80645881,0.43119612,0.33145195,2.60037269,0.05764277,0.01109220,0.13880761,0.14696312,16.26271668,0.00033333,0.00033333,485
2,0.00021719,26.02308057,0.71534389,0.04657297,4.68605329,0.01120240,0.00064885,0.03118569,0.03098259,2.84134106,0.00066667,0.00066667,449
3,0.00021250,28.22126429,0.81217681,0.02362007,6.77961368,0.00679150,0.00040308,0.00206431,0.00166522,1.21198359,0.00100000,0.00100000,449
4,0.00015312,30.03740015,0.86451832,0.01215591,6.76292122,0.00424467,0.00023348,0.01636182,0.01501464,0.49001941,0.00100000,0.00100000,439
5,0.00015469,30.82829661,0.89746583,0.00982089,7.60034147,0.00371975,0.00020654,0.00143984,0.00123138,0.32756683,0.00099977,0.00099977,450
6,0.00013125,31.18156239,0.88994809,0.00860279,7.53064882,0.00334297,0.00018926,0.00701897,0.00728837,0.26141245,0.00099920,0.00099920,448
7,0.00009531,32.16207285,0.89706095,0.00619453,6.27244793,0.00259819,0.00012844,0.02815222,0.02501156,0.16846742,0.00099840,0.00099840,449
8,0.00014219,32.29384846,0.89441780,0.00682299,5.86667104,0.00270604,0.00018645,0.01317178,0.01398651,0.16657986,0.00099738,0.00099738,441
9,0.00012656,33.38483010,0.88689512,0.00567780,6.31666489,0.00202039,0.00018192,0.00683717,0.00658593,0.12065944,0.00099613,0.00099613,447
10,0.00008906,34.09654895,0.90032677,0.00469109,7.50911551,0.00180604,0.00012732,0.00113920,0.00129846,0.08608967,0.00099465,0.00099465,449
11,0.00007344,34.27568950,0.89895643,0.00402795,8.46323617,0.00161883,0.00009395,0.00031339,0.00033557,0.06232991,0.00099295,0.00099295,445
12,0.00010625,34.56436029,0.90436833,0.00444999,9.01690314,0.00159893,0.00013368,0.00025568,0.00023480,0.06125819,0.00099102,0.00099102,447
13,0.00005937,34.55218782,0.89601890,0.00400286,9.74100927,0.00153968,0.00008934,0.00010503,0.00010169,0.05956381,0.00098886,0.00098886,449
14,0.00006562,34.53144383,0.89369849,0.00408522,10.31181493,0.00160794,0.00008024,0.00005989,0.00004999,0.06437469,0.00098649,0.00098649,450
15,0.00005312,34.41805692,0.89758087,0.00376566,9.84757398,0.00159309,0.00006782,0.00498982,0.00604265,0.05096563,0.00098389,0.00098389,440
16,0.00006094,35.41933079,0.90705538,0.00317757,8.26847911,0.00123903,0.00007005,0.00095704,0.00089105,0.04112343,0.00098107,0.00098107,448
17,0.00004062,35.35036745,0.90520560,0.00312226,9.22668988,0.00125931,0.00005629,0.00019205,0.00016423,0.03773868,0.00097804,0.00097804,450
18,0.00003438,35.72592900,0.90491317,0.00286385,9.44160639,0.00114295,0.00004584,0.00013001,0.00011966,0.03183275,0.00097478,0.00097478,449
19,0.00009375,35.30062890,0.90222720,0.00389395,9.88752285,0.00132005,0.00011379,0.00008216,0.00007108,0.04472526,0.00097131,0.00097131,440
20,0.00003594,35.95410363,0.90322044,0.00295266,10.19144892,0.00110221,0.00004934,0.00006885,0.00005956,0.03379131,0.00096762,0.00096762,449
21,0.00003438,35.87412443,0.90556606,0.00302023,10.90656373,0.00108964,0.00005243,0.00003415,0.00002680,0.03156541,0.00096372,0.00096372,448
22,0.00005781,36.35316803,0.91113499,0.00306352,11.39013907,0.00098658,0.00006971,0.00001853,0.00001510,0.02408162,0.00095961,0.00095961,446
23,0.00007344,36.09281141,0.91187297,0.00329563,11.88945510,0.00101381,0.00008275,0.00001762,0.00001349,0.02653273,0.00095529,0.00095529,445
24,0.00003594,35.81529217,0.90449478,0.00318193,12.59722850,0.00119384,0.00004088,0.00000550,0.00000508,0.03195451,0.00095076,0.00095076,450
25,0.00002500,36.22996767,0.90741024,0.00287719,13.29943755,0.00100699,0.00002724,0.00000295,0.00000244,0.02678406,0.00094603,0.00094603,450
26,0.00002812,36.67533587,0.90998923,0.00292419,13.76760690,0.00091344,0.00003666,0.00000194,0.00000169,0.02673527,0.00094109,0.00094109,442
27,0.00003438,36.53142905,0.90913414,0.00278006,11.84253777,0.00096680,0.00003886,0.00377902,0.00349900,0.02403748,0.00093595,0.00093595,451
28,0.00003125,36.30969807,0.90875630,0.00260379,9.21858492,0.00102944,0.00003606,0.00111754,0.00083941,0.02918475,0.00093061,0.00093061,447
29,0.00002812,36.70827362,0.91249017,0.00242732,9.43542404,0.00089811,0.00003354,0.00007160,0.00012528,0.02502332,0.00092508,0.00092508,472
30,0.00003125,36.64797936,0.91345702,0.00242684,10.11874952,0.00089944,0.00003180,0.00005198,0.00005969,0.01974771,0.00091935,0.00091935,438
31,0.00003125,36.53211902,0.90831194,0.00262065,10.27185947,0.00098104,0.00003575,0.00008546,0.00007524,0.02549271,0.00091343,0.00091343,450
32,0.00003438,36.01309763,0.90004215,0.00286469,10.77919831,0.00108184,0.00003839,0.00003557,0.00004178,0.03210750,0.00090733,0.00090733,449
33,0.00002344,36.48066801,0.90855564,0.00271880,11.28781886,0.00100891,0.00002942,0.00002429,0.00002008,0.02869005,0.00090103,0.00090103,443
34,0.00006406,36.75030027,0.91231642,0.00295830,11.57470733,0.00087590,0.00006817,0.00001385,0.00001334,0.02431994,0.00089456,0.00089456,448
35,0.00002812,37.09795717,0.91676097,0.00254810,12.17545030,0.00081120,0.00003167,0.00000855,0.00000729,0.02026430,0.00088790,0.00088790,447
36,0.00002500,37.18357733,0.91718058,0.00256173,12.79930391,0.00079004,0.00003008,0.00000479,0.00000382,0.01909931,0.00088107,0.00088107,449
37,0.00002969,37.06882092,0.91380797,0.00261638,13.30530933,0.00081527,0.00002801,0.00000272,0.00000237,0.01904755,0.00087406,0.00087406,439
38,0.00002812,36.51445876,0.90748321,0.00288640,13.90815118,0.00094739,0.00003249,0.00000157,0.00000134,0.02232492,0.00086689,0.00086689,449
39,0.00002812,37.09439850,0.91448409,0.00228333,9.68045904,0.00080998,0.00003176,0.00581760,0.00438930,0.01877207,0.00085954,0.00085954,449
40,0.00002344,36.85215445,0.91354665,0.00224330,9.10846602,0.00086750,0.00002655,0.00018016,0.00017329,0.01994517,0.00085203,0.00085203,447
41,0.00001875,36.73649678,0.91158107,0.00218957,8.35023202,0.00089945,0.00002220,0.00322937,0.00391201,0.02331310,0.00084437,0.00084437,442
42,0.00003281,36.91520553,0.91179401,0.00223860,8.95134389,0.00084325,0.00003196,0.00027174,0.00019192,0.01806214,0.00083654,0.00083654,447
43,0.00001563,37.20150422,0.91513741,0.00212782,8.93752341,0.00080280,0.00002161,0.00014651,0.00017358,0.02151288,0.00082856,0.00082856,450
44,0.00002656,36.95741207,0.91071417,0.00233338,9.45296230,0.00084985,0.00003426,0.00008851,0.00010307,0.01956060,0.00082043,0.00082043,446
45,0.00003125,36.84642579,0.91033531,0.00227579,8.92882323,0.00085554,0.00002972,0.00054147,0.00055048,0.02301323,0.00081216,0.00081216,447
46,0.00002500,37.10444438,0.91196826,0.00222674,9.89400185,0.00080244,0.00002542,0.00005837,0.00007115,0.01807352,0.00080374,0.00080374,449
47,0.00001719,37.12392611,0.91339865,0.00220484,10.13591343,0.00079402,0.00002223,0.00005741,0.00006203,0.01749232,0.00079519,0.00079519,447
48,0.00002656,37.40645112,0.91617688,0.00214746,9.11103723,0.00075216,0.00003123,0.00147944,0.00122325,0.01719022,0.00078650,0.00078650,441
49,0.00002031,37.45510681,0.91616007,0.00211328,9.18429236,0.00075363,0.00002799,0.00006356,0.00019834,0.01613514,0.00077768,0.00077768,446
50,0.00001875,36.86720931,0.90997031,0.00226712,9.80637198,0.00086071,0.00002252,0.00006483,0.00010024,0.02005213,0.00076873,0.00076873,450
51,0.00002812,37.49957214,0.91854728,0.00222138,10.25677682,0.00073641,0.00003072,0.00003273,0.00005348,0.01521151,0.00075966,0.00075966,449
52,0.00001719,37.16901972,0.91608677,0.00225653,10.74833176,0.00079325,0.00002162,0.00001994,0.00002946,0.01722374,0.00075048,0.00075048,440
53,0.00002500,37.59607413,0.92119502,0.00230983,11.10325732,0.00072292,0.00003083,0.00002026,0.00002966,0.01682548,0.00074117,0.00074117,449
54,0.00002187,37.15132398,0.91549184,0.00213622,8.69925833,0.00079949,0.00002764,0.00829810,0.00919045,0.01904233,0.00073176,0.00073176,447
55,0.00002344,37.61713815,0.92104627,0.00204709,9.24898807,0.00071258,0.00002560,0.00019783,0.00017180,0.01536056,0.00072225,0.00072225,446
56,0.00002500,37.63079378,0.91986720,0.00204584,9.51450388,0.00070240,0.00002446,0.00009427,0.00010842,0.01474038,0.00071263,0.00071263,445
57,0.00002187,36.98711740,0.91259310,0.00222058,9.76654628,0.00082794,0.00002280,0.00007731,0.00008287,0.01880102,0.00070291,0.00070291,453
